Date,Manager ID,Product ID,Quantity Sold,Price Per Unit,Sales (USD),Returns
3/30/2024,3,3,2,$20.00 ,$40.00 ,0
8/24/2024,5,6,8,$15.00 ,$120.00 ,0
5/25/2024,1,1,6,$25.00 ,$150.00 ,0
4/2/2023,12,15,2,$20.00 ,$40.00 ,0
6/1/2024,5,3,7,$20.00 ,$140.00 ,0
8/20/2024,8,13,6,$30.00 ,$180.00 ,0
2/8/2024,7,3,6,$20.00 ,$120.00 ,0
8/13/2023,9,16,9,$50.00 ,$450.00 ,0
9/26/2024,3,14,10,$95.00 ,$950.00 ,0
7/13/2024,11,12,5,$50.00 ,$250.00 ,0
10/10/2024,17,15,6,$20.00 ,$120.00 ,0
8/6/2023,11,5,6,$80.00 ,$480.00 ,0
9/18/2023,18,3,3,$20.00 ,$60.00 ,0
8/2/2024,10,5,6,$80.00 ,$480.00 ,0
6/29/2024,18,10,3,$100.00 ,$300.00 ,0
3/25/2024,15,1,4,$25.00 ,$100.00 ,0
1/14/2023,2,6,6,$15.00 ,$90.00 ,0
5/21/2023,14,5,1,$80.00 ,$80.00 ,0
3/7/2023,12,15,8,$20.00 ,$160.00 ,0
7/30/2024,6,2,5,$120.00 ,$600.00 ,0
12/18/2023,2,16,4,$50.00 ,$200.00 ,0
4/25/2024,6,11,1,$60.00 ,$60.00 ,0
1/4/2024,7,8,5,$25.00 ,$125.00 ,0
7/23/2023,9,8,6,$25.00 ,$150.00 ,1
5/3/2023,2,5,7,$80.00 ,$560.00 ,0
10/9/2024,12,10,1,$100.00 ,$100.00 ,0
6/9/2023,14,7,9,$100.00 ,$900.00 ,0
1/9/2024,8,16,6,$50.00 ,$300.00 ,0
1/31/2023,5,16,5,$50.00 ,$250.00 ,0
11/26/2024,3,4,7,$150.00 ,"$1,050.00 ",0
9/18/2024,4,13,8,$30.00 ,$240.00 ,0
11/12/2024,11,12,7,$50.00 ,$350.00 ,0
10/19/2023,15,16,10,$50.00 ,$500.00 ,3
7/15/2024,2,11,3,$60.00 ,$180.00 ,0
6/16/2024,13,13,10,$30.00 ,$300.00 ,0
7/4/2024,16,10,1,$100.00 ,$100.00 ,0
8/29/2024,12,16,9,$50.00 ,$450.00 ,0
10/22/2023,6,7,9,$100.00 ,$900.00 ,0
6/11/2023,3,8,10,$25.00 ,$250.00 ,0
9/16/2023,8,13,3,$30.00 ,$90.00 ,0
5/19/2023,16,5,8,$80.00 ,$640.00 ,0
2/24/2023,3,10,6,$100.00 ,$600.00 ,0
1/22/2023,2,3,3,$20.00 ,$60.00 ,0
7/12/2024,15,3,1,$20.00 ,$20.00 ,0
9/20/2024,15,8,3,$25.00 ,$75.00 ,0
11/15/2023,16,12,5,$50.00 ,$250.00 ,0
9/7/2023,16,7,9,$100.00 ,$900.00 ,0
5/3/2024,7,16,1,$50.00 ,$50.00 ,0
9/5/2023,2,16,6,$50.00 ,$300.00 ,0
11/20/2024,17,2,5,$120.00 ,$600.00 ,0
5/18/2023,4,9,3,$110.00 ,$330.00 ,0
5/29/2024,15,14,4,$95.00 ,$380.00 ,0
11/12/2024,10,12,10,$50.00 ,$500.00 ,0
1/27/2024,5,3,5,$20.00 ,$100.00 ,0
2/15/2023,13,3,4,$20.00 ,$80.00 ,0
12/31/2023,10,8,8,$25.00 ,$200.00 ,0
9/12/2024,18,8,9,$25.00 ,$225.00 ,1
4/4/2023,15,16,2,$50.00 ,$100.00 ,0
10/28/2024,2,4,9,$150.00 ,"$1,350.00 ",0
12/1/2023,14,3,9,$20.00 ,$180.00 ,0
8/2/2024,11,14,8,$95.00 ,$760.00 ,0
7/21/2023,2,9,5,$110.00 ,$550.00 ,0
7/17/2023,1,2,4,$120.00 ,$480.00 ,0
8/14/2024,6,16,7,$50.00 ,$350.00 ,0
12/20/2024,3,13,8,$30.00 ,$240.00 ,0
9/1/2024,4,8,2,$25.00 ,$50.00 ,0
12/25/2024,11,4,5,$150.00 ,$750.00 ,0
8/30/2024,10,6,6,$15.00 ,$90.00 ,0
5/28/2024,11,5,4,$80.00 ,$320.00 ,0
5/12/2024,6,9,7,$110.00 ,$770.00 ,0
11/19/2024,17,10,1,$100.00 ,$100.00 ,0
1/28/2024,12,2,3,$120.00 ,$360.00 ,0
4/8/2024,8,16,3,$50.00 ,$150.00 ,0
10/29/2023,14,16,2,$50.00 ,$100.00 ,0
7/26/2024,11,6,1,$15.00 ,$15.00 ,0
9/24/2023,1,13,6,$30.00 ,$180.00 ,2
1/8/2023,14,6,5,$15.00 ,$75.00 ,0
3/8/2024,10,1,8,$25.00 ,$200.00 ,0
4/3/2023,15,12,2,$50.00 ,$100.00 ,0
5/29/2024,9,14,7,$95.00 ,$665.00 ,0
1/10/2023,6,16,8,$50.00 ,$400.00 ,0
9/22/2023,16,11,4,$60.00 ,$240.00 ,0
11/29/2024,13,9,2,$110.00 ,$220.00 ,0
7/9/2024,13,16,1,$50.00 ,$50.00 ,0
5/2/2023,12,8,9,$25.00 ,$225.00 ,0
7/18/2023,15,4,2,$150.00 ,$300.00 ,0
5/28/2024,2,12,10,$50.00 ,$500.00 ,0
10/20/2024,10,2,5,$120.00 ,$600.00 ,1
4/1/2024,11,1,6,$25.00 ,$150.00 ,0
12/31/2024,6,2,3,$120.00 ,$360.00 ,0
12/13/2023,15,14,2,$95.00 ,$190.00 ,0
8/8/2024,14,16,2,$50.00 ,$100.00 ,0
9/27/2024,11,1,4,$25.00 ,$100.00 ,0
6/10/2023,16,3,3,$20.00 ,$60.00 ,0
8/12/2024,14,13,1,$30.00 ,$30.00 ,0
2/2/2023,16,1,4,$25.00 ,$100.00 ,0
2/7/2024,13,6,2,$15.00 ,$30.00 ,0
7/17/2024,10,2,4,$120.00 ,$480.00 ,1
12/8/2024,4,2,10,$120.00 ,"$1,200.00 ",0
6/20/2023,13,6,8,$15.00 ,$120.00 ,0
2/25/2023,8,9,6,$110.00 ,$660.00 ,0
6/15/2024,14,12,9,$50.00 ,$450.00 ,0
7/10/2023,5,5,5,$80.00 ,$400.00 ,0
2/23/2023,13,16,1,$50.00 ,$50.00 ,0
2/7/2023,3,3,2,$20.00 ,$40.00 ,0
12/27/2024,18,14,8,$95.00 ,$760.00 ,0
6/2/2023,17,2,10,$120.00 ,"$1,200.00 ",0
10/23/2024,13,12,5,$50.00 ,$250.00 ,0
7/7/2024,1,5,3,$80.00 ,$240.00 ,0
6/21/2024,5,4,10,$150.00 ,"$1,500.00 ",0
11/25/2023,13,3,10,$20.00 ,$200.00 ,2
9/19/2023,17,13,1,$30.00 ,$30.00 ,0
2/13/2023,5,16,8,$50.00 ,$400.00 ,0
